입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
K200A1장갑차 시뮬레이터 연구개발,제9691부대,83136583.0,85.966,2017-08-02,서울과학기술대학교 산학협력단,김창환,박계향,서울특별시 종로구 새문안로5가길 32(적선동)
관제레이더 장애징후분석 및 원격감시체계구축,공군군수사령부,294005848.0,,2019-05-20,정원B&C,윤정숙,,서울특별시 중랑구 동일로516-3 (면목동) 5층
국방정보화법 하위법령 개정방안 연구,제9691부대,,72.207,,,,김해진,"서울특별시 용산구 한강대로62길41, 3층 (한강로1가)"
디지털 증거분석체계 SW 라이선스 갱신,국방부군사편찬연구소,144245216.0,88.02,,서울여자대학교 산학협력단,노광현,배미동,"경기도 고양시 일산동구 일산로441번길34-13, 1층 (1층 상가 좌측)(정발산동)"
18-함정EMP보호대책적용사례분석및개선사항도출연구,합동참모본부,123711144.0,78.394,,한국과학기술원,홍순국,김지훈,"서울특별시 노원구 광운로 20(월계동, 광운대학교)"
76mm 철갑고폭탄 비용분석,육군본부,74893341.0,,,영현정보통신(주),정태량,이상규,서울특별시 금천구 시흥대로97-0 (시흥동)2동 316호
20-Lynx 군수지원 여건 고려 적정 수명주기 연구,국군재정관리단,13825301.0,,,(재)한국화학융합시험연구원,이준식,이진선,서울특별시 강남구 논현로189길6 (압구정동)
17년 비용분석모델(PRICE) 유지보수 용역,방위사업청,,,,한국환경설계(주),정정모,안기수,"경기도 안성시 대덕면 서동대로4726, 중앙대학교 생활과학관 609관 2층"
[24-육-91] 무건리 훈련장 갈등 비용분석 연구,육군본부,340338732.0,92.527,2021-12-18,문경새재 사과나무,정성문,김종호,"전라남도 장성군 황룡면 강변로452-16, 3층 302호"
육군 수질 유지비 현실화 방안 연구용역,합동참모본부,469297036.0,,2019-12-14,,,,
[24-육-188] 안전문화 수준 측정 Tool 개발 연구,국군재정관리단,607240246.0,,2019-12-07,(사)21세기군사연구소,,,
K1A2 전장관리신호처리기 시험장비개발 연구용역,공군본부,,77.694,,한양대학교 산학협력단,,김현숙,
도태항공기 활용 EMP야외환경 시험 연구용역,국군재정관리단,425356437.0,75.09,2019-11-14,(사)한국위기관리연구소,김진원,이도제,서울특별시 서초구 서초동1432-13 202
사이버전자전 작전수행개념 및 핵심요구능력 연구,해군본부,466577030.0,80.393,,주식회사 씨이지앤드플러스,권정환,이광민,"서울특별시 마포구 마포대로109 (공덕동, 롯데캐슬 프레지던트) 101동 2102호"
20-교육훈련 빅데이터 통합관리체계 구축방안 연구,국군재정관리단,,66.901,2023-11-17,,,주세영,
작전환경 변화 및 공군 합동 고려한 포병 발전 연구,국군재정관리단,153077352.0,77.677,2016-03-24,(사)한국전략문제연구소,,,
무기체계 시험평가 사고예방 안전매뉴얼 연구,공군군수사령부,973906499.0,73.343,2019-06-19,사단법인 안보경영연구원,전건욱,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
CH/HH-47D 성능개량 시설사업기본계획 연구용역,국방부(운영지원과),126758509.0,95.957,2019-10-27,,,이상규,
무인항공기 무인비행장치 전문 운용사 자격신설 연구,국방부(운영지원과),,102.403,2021-11-25,사단법인 한국국가전략연구원,,,
[연구소] 유전자 자동염기서열 정비 및 검교정,국군재정관리단,28107228.0,76.135,,,,박소연,
한국해군 협동교전절차(CEC) 수행방안 연구용역,방위사업청(운영지원과),,82.72,2019-02-17,,,,
관제레이더 장애징후분석 및 원격감시체계구축,방위사업청(운영지원과),,,,사단법인 씨알리더십연구원,김지찬,경상현,"경상남도 창원시 성산구 완암로50-0 (성산동, SK테크노파크) 넥스동 1103호"
과학화경계시스템사업의 기종결정 평가방안 연구,해군본부,101800375.0,82.332,2022-01-05,,,,
정기기초연구과제연구용역(3. 한국군의군수관리...),국군재정관리단,64430963.0,80.856,2024-04-12,,,이광민,
침낭 품질개선 선행연구 용역,방위사업청(운영지원과),15469757.0,,2021-02-14,재단법인 한국군사문제연구원,김형철,,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)"
00 0000 분석체계 구축,공군군수사령부,,,2018-05-26,제이컴,김규형,김창관,서울특별시 중구 필동로1길30(필동3가) 동국대학교
중장비 수송차량 이동을 위한 도로능력 검증 연구용역,국방통합데이터센터,305666359.0,121.015,2021-03-03,(주)에프오알엠도시건축공간연구소,,,
자동염기서열 분석기 구매설치,해군군수사령부,,91.905,,미래산업,장복철,이현미,경기도 화성시 동탄첨단산업1로14-0 (영천동)  KTX밸리 707호
사례분석을 통한 對아세안 국방협력 발전방안 연구,해군교육사령부,98613922.0,,,,홍영기,전승열,충청남도 논산시 양촌면 황산벌로1040
전시 효율적 해외구매 방안에 관한 연구,국군화생방방호사령부,,82.525,2018-05-07,,,김진욱,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
정밀루트 및 문화재 지표조사 연구용역,방위사업청,94828648.0,,2020-05-11,라온시스템즈(주),권택연,,"경기도 수원시 영통구 광교로105, 607호(이의동, 경기 알앤디비센터)"
24년 전투발전 연구 용역(1),국방부(운영지원과),379450070.0,86.248,2022-11-06,,,,
KF-16 AIFF 점검 및 교환 기술 개발 연구 용역,해군본부,110105490.0,87.023,,,,,
23~27 국방양성평등정책기본계획작성방향 연구,공군교육사령부,90677508.0,93.846,,주식회사 아레스,이형민,조대현,"서울특별시 서초구 서운로 226, 서초오피스텔 404호(서초동)"
A.I.기반 전평시 동원체제 혁신방안 연구,방위사업청(운영지원과),147472117.0,106.639,2020-04-18,,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
우주 무기체계의 최적 보험 가입 방안 연구,방위사업청(운영지원과),140839472.0,,,,,,
19-미래 유무인 항공전력 복합운용 전력소요 연구,국방부,127354433.0,88.836,2017-03-29,세영정보통신(주),이홍민,정재훈,경기도 화성시 동탄첨단산업1로14-0 (영천동)  KTX밸리 707호
(247057-H)음성분석시스템 개선사업(리스자산),제2879부대,,97.382,,(주)컴트리,곽새롬,한대일,경기도 남양주시 진접읍 내각1로73번길38-1
보코더 특성분석 플랫폼 개발 연구용역,공군사관학교,,66.02,2019-10-25,,유훈,,
(24F262-A) 방호시설 폭발실증시험 계측 및 분석용역,4284부대,672180566.0,98.035,2021-12-16,,,,
모바일기기 증거분석체계 구매(교체),제9691부대,147722971.0,,2023-09-03,국방대학교산학협력단,김동준,조현선,"서울특별시 금천구 가산디지털1로171, B208호(가산동, 가산 에스케이 브이원 센터)"
자주도하장비 시설사업기본계획 수립을 위한 연구용역,공군본부,,79.292,2019-02-02,,,권연주,
19년 병리장비소모품(13) 혈액가스분석기 구매,국군의무사령부,71774055.0,81.669,,(사)한국방위산업진흥회,김동호,이경생,"서울특별시 중구 동호로7길41, 2층(신당동)"
24-미래 공군병력 부족 대비 인력공급 확대방안 연구,해군본부,165754182.0,,,주식회사 현대리서치,김진욱,임동환,서울특별시 광진구 군자동98 집현관 216
21년 전투발전 연구과제 세미나 수행 용역,4284부대,23753316.0,83.045,,(사)21세기군사연구소,,나상억,
선진전투실험 발전현황 및 육군전투실험 향상방안연구,국군재정관리단,69785248.0,,2020-01-22,,,석봉한,
23년 기술연구용역 계약 의뢰(3),공군군수사령부,231255373.0,86.38,2019-03-04,한화오션 주식회사,김지찬,이상규,"서울특별시 서초구 방배천로155, 유청빌딩 3층(방배동 821-8)"
ATCIS 개방형 OS 전환 비용대비 효과분석 연구용역,국방대학교,,,2018-07-24,(재)한국정보통신산업연구원,권정환,김상수,충청북도 청주시 흥덕구 옥산면 덕촌삼성골길16
지형분석도 제작 재료 구매,방위사업청(운영지원과),1510203.0,83.885,,주식회사 에스알씨,김태호,김인숙,서울특별시 용산구 한강대로100(한강로2가)
2023년 서울안보대화 프로그램 기획 및 발전방향 연구,제3130부대,,88.723,2022-04-26,재단법인한국조달연구원,홍영기,,서울특별시 노원구 화랑로574-0 (공릉동)
(216162-B)차륜정비장비(분석기  차량엔진용) 구매,육군본부,,90.114,2020-12-23,주식회사 발렌베리,김윤혁,김민영,"서울특별시 송파구 송파대로24길5-6 (가락동,1층)"
22-공군 기후예측 및 기후변화 시나리오 연구용역,국방부(운영지원과),57529562.0,,,,,,
120mm자주박격포 및 사격지휘차량 성능개량 사업분석,공군본부,268184344.0,,2023-10-12,정보기술감리원 주식회사,남상경,김도경,"경상북도 포항시 남구 지곡로294-0 , 233동 7층 03호(지곡동, 효자그린아파트)"
발칸교전모의기 선행연구용역,육군본부,43538052.0,90.581,2018-12-29,한국항공대학교 산학협력단,김한욱,이영미,서울특별시 강남구 테헤란로81길26-0 (삼성동) 유림빌딩3층
항-16-047 050 자동면역분석기 등 42종,공군교육사령부,,82.803,,육군사관학교 산학협력단,,전치우,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)"
K1계열전차 포탑회로망상자 시험장비 개발 연구용역,육군본부,112799802.0,90.205,2020-05-25,아주대학교 산학협력단,김한용,신종현,서울특별시 동작구 여의대방로36길92(대방동)
18-해군C4I체계 발전을 위한 연구,국방부(운영지원과),7725142.0,,2018-11-18,(사)한국무기체계안전협회,권오형,,"경상북도 구미시 대학로 61, 금오공과대학교 산학협력단(양호동)"
21년 의무장비(자동분석기 생화학용 중형) 구매,국방부(운영지원과),40669182.0,,,주식회사 공공정책성과평가연구원,박영선,노태균,서울특별시 관악구 관악로1 (신림동)
(226023-G)'22년무기체계사이버위협 분석시스템 도입,육군교육사령부,113226807.0,,2023-01-14,(주)우리디자인,송광선,정원용,"서울특별시 구로구 디지털로31길41, 312-118(구로동)"
교육 발전방향 연구용역,국군화생방방호사령부,134439463.0,,2021-04-17,,,조혜진,
21-해양무인체계에 필요한 핵심기술 연구,국방부(운영지원과),152353756.0,79.174,,주식회사 모렌스,이희윤,장중원,"서울특별시 금천구 디지털로9길68, 제1806호(가산동, 대륭포스트타워5차)"
한국형 첨단전투관리체계 운용개념 및 발전방안 연구,한미연합군사령부,26358442.0,104.21,,,,윤진영,서울특별시 용산구 새창로128-1 (용문동) 2층
미래 GOP과학화경계시스템 구축방안에 대한 연구 용역,육군교육사령부,211528418.0,105.682,2021-02-09,사단법인 안보경영연구원,,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
침해사고 조사분석체계 교체사업(209058-F),국방부조사본부,258142268.0,93.883,,,,이동희,
23년 항공관제 분석체계 유지보수,4284부대,,82.405,2023-07-02,주식회사 디티알기술사사무소,김 용희,장철호,서울특별시 구로구 디지털로34길55-0 (구로동)
해병대 정체성 향상 프로그램 개발 연구 용역,국방부(운영지원과),88393600.0,,,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
국방안전관리정보체계 최적 구축방안 연구,공군본부,361162669.0,88.97,2017-04-12,,이문걸,,서울특별시 강동구 양재대로1377 (성내동 삼원빌딩 408호)
잠수함 훈련장비(저주파분석  대함모의) 유지보수용역,육군본부,3286862.0,94.169,2024-09-20,다슬,이효진,김정자,"서울특별시 금천구 가산디지털1로5, 대륭테크노타운 20차 1934호"
20년대 이후 북한 및 잠재적 위협의 변화 전망분석,합동참모본부,243515130.0,117.999,2021-04-09,(주)볼트시뮬레이션,이충근,이경순,"서울특별시 구로구 디지털로31길41, 312-118(구로동)"
산업협력 제도 시행을 위한 세부 방안 연구,제2307부대,,,2019-03-03,,,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
급식유통센터 성과분석 및 (경남권)필요성 연구,해군본부,490914604.0,98.59,2017-10-13,(주)에프오알엠도시건축공간연구소,김진욱,,"서울특별시 송파구 법원로9길26, D동 1104호(문정동, H-비즈니스파크)"
19년 지형분석장비 교체사업 리스,공군제18전투비행단,227917736.0,121.269,2023-08-22,한국마이크로데이타(주),양선원,양진,부산광역시 강서구 녹산산단232로 38-6()
교육연구자료 원문 DB 구축 용역,해군본부,6372021.0,82.923,2021-04-04,,,이혜진,
실전적 모의지원 연구 용역,국군재정관리단,,87.746,2021-04-27,,,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
24-해병-이동식 취약점 분석평가 도구(상용SW) 구매,해군군수사령부,40902408.0,72.8,2024-10-15,(주)볼트시뮬레이션,안기수,허지원,"경기도 고양시 덕양구 용현로10-0, 508동 203호 (행신동, 무원마을5단지 아파트)"
미래환경 변화에 적합한 인력획득 홍보 발전방안 연구,국방부(운영지원과),214526092.0,120.068,2019-10-05,(사)21세기군사연구소,김영욱,,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
국방무인체계 총수명주기관리방안 연구,합동참모본부,140289174.0,,2019-01-29,,박정기,,
21년 전투발전 연구용역(1),국방부(운영지원과),,88.686,2018-05-09,,,,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)"
IoT 기반 전군 공통 서비스 발전방향 연구,육군본부,3969842.0,91.513,2022-05-23,우석대학교 산학협력단,김흥중,이수행,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
화생방 연구 재료 가스 구매,육군본부,109687916.0,,2018-06-07,,,이창환,
국방 사이버전 EA 개념 연구,방위사업청,,75.011,2016-04-11,기산건축사사무소,박장권,,"강원특별자치도 원주시 문막읍 귀문로1269-16, 1층 우측"
미활용 군용지의 태양광 자원조사 및 활용방안 연구,국방부,6632648.0,88.998,,(사)21세기군사연구소,,박지훈,
관사 및 간부숙소 신축 선행연구 용역(23-216),해군본부,177218082.0,90.005,,사단법인 한국갈등학회,이정원,김동신,서울특별시 강남구 논현로189길6 (압구정동)
보라매(KF-21) 양산 비용분석,육군항공학교,51114451.0,,2022-02-12,정원B&C,김동국,서경희,"경기도 부천시 송내대로388-0 200동 502호 (약대동, 부천테크노파크)"
인공지능을 적용한 군사드론의 체계 연구,국군재정관리단,42486292.0,91.028,,,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
17년 통합기후예측시스템 연구개발 용역,해군본부,9441449.0,,2022-02-09,법무법인 일현,이용준,서경원,대전광역시 유성구 노은로170-0 (지족동) 스타시티빌딩 6층
사이버정보(수집·분석·관리)시스템 구축방안,공군본부,,72.871,2022-03-05,(주)에프오알엠도시건축공간연구소,권선애,이강일,"서울특별시 송파구 법원로9길26, D동 1104호(문정동, H-비즈니스파크)"
해병대 작전환경에 적합한 M&S 전력분석 연구 용역,국군재정관리단,8930079.0,100.511,2021-12-12,,,김평희,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
해병 과학화경계시스템 추진방안 연구 용역,제9691부대,28714278.0,89.858,2018-03-22,고신대학교 산학협력단,최치원,박광섭,서울특별시 강남구 논현로189길6 (압구정동)
휴대용 산소분석기 1종 구매,육군본부,33591762.0,,,(주)싸이버텍,류재산,김종호,서울특별시 영등포구 당산로49길13 (당산동6가)
22-4-작전지휘시설 신축 선행연구용역,국방지형정보단,346325227.0,,,,,,
작전환경고려 전투실험 방법 및 평가 분석방법 연구,육군공병학교,70603759.0,87.279,2021-09-03,,이홍기,박연선,
기갑및기계화부대 중대급 교전훈련장비 선행연구 용역,육군본부,,76.86,2020-04-20,사이모빌 주식회사,박영욱,홍지유,충청북도 청주시서원구 성화동599번지 3층
24년 국방민원서비스 만족도 조사 연구,공군본부,,95.083,,,주현,김승범,
군수부대 저장시설 기동화 방안 연구용역,제9965부대,102071097.0,,2016-04-16,(사)한국전략문제연구소,,,
사이버전자전 작전수행개념 및 핵심요구능력 연구,국방부(운영지원과),8856644.0,86.389,2021-08-30,,,김지훈,
정기기초연구과제연구용역(6. 전장에서포병화력...),육군교육사령부,191768158.0,71.74,2021-02-19,(주)디아이엔티,권경득,박한솔,서울특별시 영등포구 여의공원로 101(여의도동)
신기술 연구개발 기반체계 구축 및 백업체계 교체,국군재정관리단,2622612.0,86.588,,,,구종우,
공군조직내 잠재갈등 분석 및 공군문화 발전방안 연구,육군교육사령부,59367999.0,94.485,2021-10-20,,,,
기술성숙도평가(TRA) 내실화 방안 연구,육군본부,24624648.0,94.036,2019-06-13,,,,
극지안보환경 변화에 따른 미래 한국해군의 역할 연구,육군교육사령부,404282933.0,112.397,2020-08-18,(주)디앤오종합건축사사무소,,,
2023년 서울안보대화 프로그램 기획 및 발전방향 연구,육군본부,345975744.0,,,(주) 한국능률협회컨설팅,정의붕,고은미,"전라북도 군산시 임피면 호원대3길 64,"
해병대 무인항공기 효율적 운용방안 연구,국군재정관리단,,95.878,,,,박계향,
군사시설 건축공법(경량화) 개선 연구,제2879부대,100261804.0,85.579,,호원대학교 산학협력단,,,
2023 임상의학연구센터 통계프로그램 구매,국방부(운영지원과),345406171.0,76.879,2017-08-19,주식회사 현대리서치,박진호,송용재,경기도 안양시 동안구 흥안대로 516(관양동 1505-22)
국방정보체계프로젝트관리시스템 발전방안 연구,방위사업청(운영지원과),30472287.0,80.527,2021-08-29,,,이창환,서울특별시 용산구 새창로128-1 (용문동) 2층
정밀측정장비(레벨분석기) 구매,국방부(운영지원과),84198677.0,,2021-02-24,,,박수정,
(20F169-A)지형분석장비 교체사업 등 17건 금융리스,국군재정관리단,,,,주식회사 에스유지,염진수,이유진,"경상북도 경산시 대학로280, 1층(대동)"
국방 데이터 전략연구,육군교육사령부,,,2021-01-30,,,최선미,
(226154-E) 차륜정비장비(분석기 차량엔진용) 구매,방위사업청(운영지원과),96182292.0,,2017-12-16,(주)카이엠,안주섭,오선아,경상남도 창원시 성산구 창원대로797 (상남동)
육군 개인 재능 평가지표 개발 연구용역,국방부(운영지원과),,83.931,2018-11-23,,,이상규,
국방정보화법 하위법령 개정방안 연구,방위사업청(운영지원과),165296819.0,91.258,2018-04-25,건축사사무소 모인건축,최규식,권민정,"대구광역시 달서구 달구벌대로1095-0 (신당동, 계명대학교)"
16-00원 종합발전 비전 연구용역,국군의무사령부,407841528.0,81.443,2017-03-05,,,,
21-해군분석모델 발전방안 연구,국군재정관리단,118621542.0,82.283,2018-10-17,(주)제트코,이정훈,노은희,"서울특별시 강북구 인수봉로55가길16-9 (수유동, 가람아트빌5차) 301호"
개전초 동원긴요부대 전시 완정성 보장 방안 연구,해군본부,,90.222,,충남대학교 산학협력단,안성일,엄지성,대전광역시 동구 대학로62-0 (용운동)
(21F040-G) 사이버위협분석 개발연구체계 구축 사업,방위사업청(운영지원과),101374710.0,89.981,2022-06-22,법무법인(유한) 광장,박종선,정기쁨,대전광역시 유성구 대학로291-0 (구성동)
연구용역(방공포병 준.부사관 특기체계개선방안 연구),국군재정관리단,319617017.0,,,한국버츄프로젝트,권정환,황병윤,서울특별시 송파구 올림픽로505-0 (풍납동)
국방시설 전력소비 수용률 기준 연구용역,국방부(운영지원과),47345740.0,,2018-09-29,,,,
죽변 비상활주로 민ㆍ민갈등 해소방안 연구,제7군단,623825517.0,87.562,2018-08-11,에스앤에스이앤지 주식회사,주현,박임규,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)"
23-6차 조달 연구장비(겔이미지 시스템) 구매 계약,국군재정관리단,,,,케이엠글로벌,전춘석,김진수,서울특별시 동대문구 장한로27길29 (장안동) 201비호
복합재 항공기 구조물 구조건전성 해석기법 연구용역,제2879부대,103371589.0,91.601,2019-02-22,,,김진욱,
예비전력발전세미나 주제연구(Ⅱ) 용역,국군재정관리단,,105.978,2023-06-14,사단법인 한국갈등학회,김태호,임수진,"서울특별시 송파구 송파대로167 , 비동 1303호 (문정동, 문정역테라타워)"
23년 기술연구용역 계약 의뢰(1),제9691부대,,85.453,,주식회사 오파스넷,김보영,김태훈,"인천광역시 남동구 서창남순환로190-15 (서창동, 서창퍼스트뷰아파트) 718동 301호"
분석기(스펙트럼용) 구매,육군본부,,103.925,,(주)볼트시뮬레이션,정영석,최승룡,"경기도 평택시 평택5로34번길48, 402호(합정동)"
정원감축 대비 민간인력 전환분야 및 규모식별 연구,합동참모본부,,90.829,2017-04-14,(주)론스텍,박호균,김도경,"서울특별시 금천구 가산디지털1로19, 406호, 407호, 408호, 409호(가산동,대륭테크노타운18차)"
병력책정 기준연구(비행대대 조직구조 개선방안),육군본부,44471536.0,80.169,,,정의승,황병윤,"서울특별시 용산구 한강대로62길41, 3층 (한강로1가)"
유류시험장비(연료성분분석기 등3종)구매(20196115-E),국방시설본부,,100.597,2022-04-06,고려대학교산학협력단,김희상,,부산광역시 동구 고관로62 (초량동)
공무직 근로자 임금체계 컨설팅 및 연구 용역,공군본부,120258223.0,94.893,2022-03-09,노무법인한수,김도현,,"서울특별시 중구 동호로7길41, 2층(신당동)"
22-군 비행장 조명시설 표준화 연구용역,국군재정관리단,198125068.0,,,,김재영,정지용,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
유도로켓(비궁) 성능개량 소요 및 방법 분석 연구용역,육군본부,7124811.0,83.985,2019-06-15,세종대학교산학협력단,김태동,,
지능형 C4I체계 기술 분석 및 클라우드환경 구축방안,육군본부,,91.535,2021-03-14,휴뷰티,최규식,김지영,"대전광역시 서구 둔산대로117번길44-0 (만년동, 엑스포오피스텔619호)"
군사시설 유형별 시설기준 제 개정 연구,육군교육사령부,,,2019-08-02,,,,
미래 한국 해병대의 군구조 연구용역,공군사관학교,22411864.0,109.497,2020-11-13,청주대학교산학협력단,이창훈,경상현,서울특별시 광진구 군자동98 집현관 216
유전자감정장비(자동염기서열분석기)소모품 설치 납품,방위사업청,,85.273,2024-05-07,대길상사,고윤안,나인성,서울특별시 강서구 양천로401-0 (가양동) 강서한강자이 A-704
(226154-E) 차륜정비장비(분석기 차량엔진용) 구매,공군본부,19408592.0,,2024-04-07,세종대학교산학협력단,경상현,조대현,대전광역시 동구 대학로62-0 (용운동)
신기술 기반 공군 교육통합플랫폼 구축방안 연구,국방대학교,230713744.0,111.342,,고려대학교산학협력단,,정광조,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
A.I.기반 전평시 동원체제 혁신방안 연구,국방부(운영지원과),41548788.0,99.994,,충남대학교 산학협력단,안성일,유근영,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
중증외상질환 예후예측인자 발굴 및 관리방안 연구,국방부(운영지원과),31127417.0,79.721,2018-02-18,재단법인 한국군사문제연구원,김형철,,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)"
22-11차 연구장비 구매 계약 - 의약품 냉동고,국방부(운영지원과),45689519.0,,2020-05-25,(사)21세기군사연구소,나승식,안주섭,"경기도 고양시 덕양구 항공대학로76-0 (화전동, 한국항공대학교내)"
24년 전투실험발전 연구 용역(2),육군본부,,,2023-10-16,,,,
방음정비고 사업 정립을 위한 선행연구용역,국군재정관리단,223720124.0,,2022-05-07,,,,
22년 공군 항공무장효과분석모델 통합 유지보수,국방부(운영지원과),93134222.0,,2023-05-29,태성네트웍스 주식회사,심동석,김혜진,"경기도 군포시 고산로148번길17-0, B동 1303호, 1304호, 1305호(당정동, 군포IT밸리)"
(1)군용비행장 소음측정 및 분석용역,국방부(운영지원과),84974841.0,84.654,,주식회사 티엠시스,최규식,이승재,"서울특별시 송파구 오금로19길6, 202호(방이동)"
생물안전밀폐실험실(BL3 3등급 연구시설)유지보수용역,제9691부대,104555641.0,93.123,2018-09-17,(사)한국전략문제연구소,박정기,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
국내개발 항공기 성능개량 및 관리방안 연구용역,해군본부,61636515.0,,2022-02-11,,정의승,한기관,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
공무원 징계와 군 징계의 비교법적 연구,국방부(운영지원과),,77.278,,,,임순옥,
침해사고 조사분석체계 교체사업(209058-F),제20전투비행단,,,2017-09-09,한성대학교 산학협력단,김도현,,"경기도 군포시 고산로148번길17-0, B동 1303호, 1304호, 1305호(당정동, 군포IT밸리)"
25년도 안보정세전망 연구용역,육군본부,312128369.0,120.557,,(주)한컴네트워크,김건호,손보연,서울특별시 금천구 가산디지털2로123-0 (가산동) 월드메르디앙벤처센터 2차 317호
북한의 기뢰전 전술 분석 및 대응책 연구,국방부(운영지원과),138152400.0,90.252,,(재)한국해양전략연구소,한민구,,서울특별시 노원구 화랑로574-0 (공릉동)
해병대 정체성 향상 프로그램 개발 연구 용역,방위사업청(운영지원과),42096495.0,,2017-03-18,사단법인 안보경영연구원,전건욱,,
DNA정량분석기 등 7항목 구매(의무),국방부(운영지원과),,100.251,2023-05-10,,,한달연,
상호운용성 정보보증 평가기준 고도화 방안 연구,육군교육사령부,105114397.0,,2018-08-27,,,,
중금속가열분석기 1항목 구매(의무),공군본부,,78.583,2022-06-26,고려대학교산학협력단,김진원,함혜련,"서울특별시 강남구 테헤란로78길16, 6층 (대치동, 노벨빌딩)"
특수작전용 유탄발사기사업 선행연구,육군교육사령부,39572284.0,86.743,2016-01-06,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
운용제원 분석 기반 장비수명 판단방안 연구,공군본부,93891916.0,104.54,2020-01-29,,,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
레이더 시험세트(스펙트럼 분석기 등 4종) 구매,제9965부대,18860083.0,79.515,,,구칠효,경상현,"서울특별시 성북구 화랑로76, 제3층 307호(하월곡동,코업스타클래스)"
기술연구 환경구축 사업 리스,공군군수사령부,189143212.0,101.938,,(사)21세기군사연구소,고중혁,,서울특별시 관악구 관악로1 (신림동)
[24-육-91] 무건리 훈련장 갈등 비용분석 연구,공군본부,,,,주식회사아이디에프,김원헌,최영상,대전광역시 유성구 테크노2로187-0 (용산동) 미건테크노월드 2차 B동 217호
육군 스마트 안전관리 모형개발 연구용역,국방부(운영지원과),8684607.0,81.141,,호원대학교 산학협력단,김진욱,윤병찬,전라남도 목포시 해양대학로 91(죽교동)
전자기스펙트럼 측정/분석체계 운용방안 연구,종합보급창,,71.036,2018-08-06,주식회사 대한,,이재광,"서울특별시 광진구 능동로120, 건국대학교내(화양동)"
대형 후속사업 추진시 기종결정 평가항목 연구,육군교육사령부,,,2017-08-06,,김한용,,대전광역시 유성구 죽동로157-0 (죽동)
방음정비고 사업 정립을 위한 선행연구용역,국군재정관리단,42850576.0,91.078,2017-10-15,,,김형민,
16년 정비지원부대 직무값 기반의 직무분석 연구용역,육군본부,18473927.0,86.255,2018-04-21,아주대학교 산학협력단,김윤혁,,서울특별시 영등포구 영등포로35길10-0 (영등포동6가) 8층 809호
국방대학교 안보현안분석 등 2종 인쇄 용역,제9691부대,,80.651,,인하대학교 산학협력단,정중식,박계향,"서울특별시 영등포구 의사당대로1길11-0 (여의도동),1409호"
정밀측정장비(레벨분석기) 구매,국방부(운영지원과),726595963.0,83.421,2022-08-12,,,황병윤,
(217096-D)자동염기서열 분석기 등 2종 구(납품),제9691부대,,90.436,2023-07-15,주식회사 피앤씨솔루션,김영국,이여정,"서울특별시 금천구 가산디지털1로1-0 (가산동, 더루벤스밸리) 1208호"
17년 비용분석모델(PRICE) 유지보수 용역,육군공병학교,171037733.0,94.712,,사단법인 대한민국해군발전협회,,,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
(227215-D) 비용분석용 상용SW 구매,해군본부,,75.376,2023-09-13,엠제이코리아,최창식,김성신,"서울특별시 동대문구 고미술로 100, 송화빌딩 303호(답십리동)"
18년 해군 전자정보 종합분석체계 개발사업,국군수송사령부,277650903.0,,2023-02-17,,,황병윤,
19년 작전계획분석모델 장비교체사업(20198065-E),국군재정관리단,125444175.0,90.252,2019-10-02,주식회사 콘텐츠펙토리상상역,손영옥,장우진,"경기도 군포시 엘에스로182번길34-24, 2층 (산본동)"
